;Precios al 12/11/2020
0;3399
1;3499
2;6899
3;6999
4;2399
5;2499
6;7299
7;3599
8;2899
9;1899
10;4499
11;3499
12;8299
13;2459
14;3999
15;4799
16;4559
17;6999
18;5599
19;5899
20;4799
21;2399
22;1959
23;2599
24;2699
25;2799
26;2859
27;2299
28;2599
29;3899
30;3499
31;1259
32;7099
33;6199
34;4399
35;2099
36;2599
37;9399
38;7159
39;2859
40;2699
41;5199
42;3859
43;5499
44;5899
45;3999
46;4499
47;6399
48;4599
49;4099
50;4999
51;5499
52;3999
53;4499
54;10499
55;5299
56;3859
57;4499
58;4399
59;2299
60;2459
61;2759
62;3999
63;1999
64;3499
65;3059
66;6999
67;3099
68;15390
69;3799
70;6199
71;8399
72;1999
73;1999
74;1699
75;1899
76;3399
77;4999
78;2759
79;2499
80;3099
81;2699
82;3499
83;3759
84;2599
85;2999
86;6999
